Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Developer,CA$48K-CA$70K (Glassdoor est.),"Company Profile: *
Join one of the fastest growing companies in Canada and a six-time Growth 500 ranked organization (2019, 2018, 2017, 2016, 2015, 2014). LawDepot is the most advanced publisher of web-based do-it-yourself legal solutions. Using a unique step by step method, LawDepot simplifies the process of creating a customized legal document. LawDepot products cover all facets of the legal industry including: Estate Planning, Family Law, Real Estate, Business and Human Resources. Over ten million satisfied customers have trusted LawDepot to solve their legal needs. LawDepot attracts over two million monthly visitors and is one of the top 5000 largest websites in North America.
Position Overview: *
LawDepot.com is currently expanding and looking to recruit a Software Developer in Edmonton, Alberta. Working with the Information Systems team, you will be responsible for the development of new and existing web-based products. This is a full-time permanent position, working 37.5 hours per week.
Primary Responsibilities: *
Develop solutions for a large scale, eCommerce website
Perform all activities in the development life cycle (Plan, Implement, Test, Document, Deploy, Maintain)
Develop, maintain, and tune complicated back end code
Create new functionality based on business specifications
Write code using development best practices
Collaborate with front end developers to implement solutions
Communicate progress updates to the team and all required stakeholders
Work with other departments (Marketing, Legal) to determine business requirements and specifications
Participate in code reviews, provide feedback, share knowledge, and brainstorm new ideas
Knowledge and Skill Requirements: *
Post-Secondary Education in Computing Science or equivalent (ex. Information Systems Technology, Digital Media and IT)
2+ years of experience in a Software or Web Developer role is preferred
Advancedknowledge in ASP.NET, .NET Core, C#, SQL (Microsoft SQL Server), AJAX
Ability to plan, implement, test and document programming applications
Familiarity with front end development including HTML5, CSS, JavaScript, jQuery, SASS
Experience with Vue.js, Typescript, Git, PHP would be an asset
Effective written and verbal communication skills
Knowledge and experience with development best practices
Why you should join the LawDepot team: *
Excellent total compensation package
Comprehensive health and dental benefits, plus an additional Health Care Spending Account
Flexible work hours
Three weeks paid vacation, plus bonus personal days
Access to continuous learning opportunities, including a subscription to LinkedIn Learning
Company share plan
Free catered lunches for the entire office
Casual work environment
How to Apply: *
Please submit a resume and cover letter by applying through Indeed or apply online via our Careers page at http://www.lawdepot.com/career/.

The company takes the safety of its employees and applicants very seriously during these difficult times and is categorized as an Essential Business.

We thank all applicants; however, only those selected for an interview will be contacted.

Job Types: Full-time, Permanent

Schedule:
Day shift
Monday to Friday
Work remotely:
Temporarily due to COVID-19",-1,Sequiter Inc.,Edmonton,-1,-1,-1,-1,-1,-1,-1,-1
Senior Full Stack Web Developer,CA$48K-CA$70K (Glassdoor est.),"_Applicants must reside in the Greater Vancouver B.C., Area_
About Vericatch*
Vericatch develops catch reporting and seafood traceability software.

At Vericatch, our team is committed to building fishery data software that positively impacts the fishing industry and our environment. Our work with electronic reporting, fishery management analytics, and supply chain systems brings the true benefits of responsible fishing back to the fishing industry.

We were founded in 2006 by fishermen and technologists who saw the benefits of working together to improve the profitability and sustainability of the industry. Today, Vericatch continues to embody the diverse talents and skills of our founders while leveraging experience from fishermen, leading marine science organizations and global technology companies.

At Vericatch we believe that great data is at the core of sustainable fisheries management. We want to help fisheries succeed by partnering with industry and stakeholders to leverage value from fishing data. This is why we listen carefully and work closely with global and local stakeholders to build strong relationships, and create products that are easy to use, low cost and flexible to fit each unique fishery.

Together, we’re building a better future. Sustainability starts with information – we are proud to design, develop, and support solutions that contribute to the sustainability of the fishing industry and the communities it supports.

Information is transformative, and we are committed to creating tools that build a better future for the fishing industry and our world.
About the Role*
Be an integral member of the design, development and deployment of our products.
Participate with a small, dedicated team in full product lifecycle activities: estimating, planning, designing, coding, documenting and testing.
Develop front-end website architectures.
Develop user interactions on web pages that are standards-compliant, cross-browser compatible, and performance optimized..
Develop back-end website applications.
Creating servers and databases in support of functionality.
Ensure cross-platform optimization for mobile devices.
Ensure responsiveness of applications.
Design and developing APIs.
Design and implementation of continuous integration and deployment.
Perform stress and automation tests on developed code to ensure reliability and durability.
Support of existing websites and applications for enhanced performance and efficiency.
Desired Qualifications*
Degree in Computer Science or Equivalent
10+ years full stack engineering experience in a production environment
Hands-on technical team leader
Comfortable constructing a solid architectural design in order to convert loose requirements into a final product
Deployed customer-facing software into a Production Environment
Strong analytical, problem solving and organizational skills.
Creative and intuitive thinker who works well individually as well as in a team environment.
Proficiency with fundamental front-end languages such as HTML, CSS and JavaScript.
Familiarity with Web frameworks including ReactJS
Familiarity with Jira, GitHub, Firebase, DigitalOcean and / or AWS and Ansible.
Proficiency with Ruby on the Rails and Python.
Proficiency with APIs and RESTful Web Services.
Familiarity with database technology including PostGreSQL.
Familiarity with unit and acceptance testing including RSpec and Capybara.
Familiarity with GIS and maps (PostGIS) as well as image processing and uploading (Libvips, Shrine, S3) would be an asset.
Excellent verbal communication skills.
Attention to detail.
Application Deadline: 2020-09-28
Job Type: Full-time

Benefits:
Dental Care
Extended Health Care
Flexible Schedule
Work From Home
Schedule:
Monday to Friday
COVID-19 considerations:
Vericatch has a strong COVID-19 response plan followed by all employees. Health of the Employees is a top priority!

Work remotely:
Temporarily due to COVID-19",-1,Vericatch Solutions Inc.,Vancouver,-1,-1,-1,-1,-1,-1,-1,-1
Senior Full Stack Web Developer,CA$48K-CA$70K (Glassdoor est.),"Cigo Tracker is looking to hire a Senior Full Stack Web Developer to join our growing team.*
Based in Montreal, Quebec, Cigo Tracker is a web service for logistics, routing and delivery management. Our intuitive web platform and smartphone app offer route optimization, real time tracking, and other customer management tools that drastically improve Last-Mile logistics and operations management in small, medium, and large enterprises. Our goal is to streamline the cumbersome process of delivering and distributing goods and empower businesses to improve their internal operations while providing a higher standard in customer service.
About the role*
As Senior Full Stack Web Developer, you will be responsible for adding new functionalities to the platform, improving existing features, reviewing the overall code base, and contributing to the idea pool. You’ll be expected to derive creative solutions to complex problems. We want you to share constructive criticism, develop with performance and security in mind, and deliver clear and maintainable code. Your work must be easy to understand, navigate, and use; simplicity is always key.
Your day-to-day: *
Contribute to new features in every aspect (from design, collaboration to full implementation)
Refactor our legacy code and work on improving existing functionality. Be ready to attack the backlog and provide your feedback along the way
Respect software development standards and aim to deliver the best code possible
Actively participate in the collaboration between the sales and development teams to bring Cigo to the next level
Work in a pleasant environment that ensures you grow and learn from the challenges you encounter daily in your work
You’ll be working with the following technology stack: *
_Backend: _*
PHP 7.3+
Yii 1.1 and Yii 2.x
Node.js
HTTP REST API design and development
Open API spec design and development
MySQL 5.7+
Cloud services and APIs such as: AWS (S3, SES, CloudFront, etc.), Azure, CloudFlare, and Twilio
_Frontend: _*
JavaScript (ECMAScript 2017/8)
jQuery 3.4
Bootstrap 3.4 & 4.x
CSS3 & SCSS
You currently have/are: *
Completed higher education in Computer Science or Software Engineering (B.Sc. and/or Masters)
Significant experience in Full Stack Web Development
Some experience building 3rd party platform integrations with e-commerce and accounting platforms (i.e. Shopify, WooCommerce, Magento, CRMs, QuickBooks, etc.)
Experience designing, developing, and maintaining an Open API
Considerable experience in Full Stack Web development using PHP (with an MVC framework, i.e. Laravel, Symfony, CakePHP, Yii), HTML, Bootstrap 3 and/or 4, JavaScript, and jQuery 3
Experience working in smaller cross-functional teams
Experience working in agile/scrum development process
Comfortable working with Git and using a flow such as Git Flow (with master, release, develop and feature branches)
Solid understanding of best practices regarding performance and security in web development
Comfortable with peer code reviews (receiving and giving constructive criticism)
Comfortable working in modern IDEs such as PHPStorm, WebStorm, etc.
Fluent in spoken and written English
A friendly personality! : )
Bonus points if you have: *
Experience working with AWS/Azure/Google Cloud platforms
Experience working with RabbitMQ and sockets
Experience working in a Continuous Integration environment
Benefits: *
Vacation & paid time off
Casual dress
Bonus scheme
Company events & social hours
Job Types: Full-time, Permanent

Benefits:
Company events & social hours
Casual dress
Vacation & paid time off
Bonus scheme
On-site parking
Job Types: Full-time, Permanent

Salary: $65,000.00-$80,000.00 per year

Additional pay:
Bonus pay
Schedule:
Monday to Friday
COVID-19 considerations:
Note: This is not a remote work opportunity.
We've adapted our working space to ensure proper social distancing. For the time being, we expect you to wear a mask when you move around our workspace.

Experience:
Web MVC: 2 years (Required)
jQuery: 2 years (Preferred)
Scrum/Agile: 1 year (Required)
PHP Framework (Laravel, Yii, Symfony, etc.): 2 years (Required)
Node.Js: 1 year (Preferred)
HTML/CSS: 3 years (Required)
Git: 2 years (Required)
JavaScript: 2 years (Required)
Education:
Bachelor's Degree (Preferred)
Location:
Montréal, QC (Required)
Language:
English (Required)",-1,Cigo Tracker,Montreal,-1,-1,-1,-1,-1,-1,-1,-1
Senior Full Stack Web Developer,CA$48K-CA$70K (Glassdoor est.),"Cigo Tracker is looking to hire a Senior Full Stack Web Developer to join our growing team.*
Based in Montreal, Quebec, Cigo Tracker is a web service for logistics, routing and delivery management. Our intuitive web platform and smartphone app offer route optimization, real time tracking, and other customer management tools that drastically improve Last-Mile logistics and operations management in small, medium, and large enterprises. Our goal is to streamline the cumbersome process of delivering and distributing goods and empower businesses to improve their internal operations while providing a higher standard in customer service.
About the role*
As Senior Full Stack Web Developer, you will be responsible for adding new functionalities to the platform, improving existing features, reviewing the overall code base, and contributing to the idea pool. You’ll be expected to derive creative solutions to complex problems. We want you to share constructive criticism, develop with performance and security in mind, and deliver clear and maintainable code. Your work must be easy to understand, navigate, and use; simplicity is always key.
Your day-to-day: *
Contribute to new features in every aspect (from design, collaboration to full implementation)
Refactor our legacy code and work on improving existing functionality. Be ready to attack the backlog and provide your feedback along the way
Respect software development standards and aim to deliver the best code possible
Actively participate in the collaboration between the sales and development teams to bring Cigo to the next level
Work in a pleasant environment that ensures you grow and learn from the challenges you encounter daily in your work
You’ll be working with the following technology stack: *
_Backend: _*
PHP 7.3+
Yii 1.1 and Yii 2.x
Node.js
HTTP REST API design and development
Open API spec design and development
MySQL 5.7+
Cloud services and APIs such as: AWS (S3, SES, CloudFront, etc.), Azure, CloudFlare, and Twilio
_Frontend: _*
JavaScript (ECMAScript 2017/8)
jQuery 3.4
Bootstrap 3.4 & 4.x
CSS3 & SCSS
You currently have/are: *
Completed higher education in Computer Science or Software Engineering (B.Sc. and/or Masters)
Significant experience in Full Stack Web Development
Some experience building 3rd party platform integrations with e-commerce and accounting platforms (i.e. Shopify, WooCommerce, Magento, CRMs, QuickBooks, etc.)
Experience designing, developing, and maintaining an Open API
Considerable experience in Full Stack Web development using PHP (with an MVC framework, i.e. Laravel, Symfony, CakePHP, Yii), HTML, Bootstrap 3 and/or 4, JavaScript, and jQuery 3
Experience working in smaller cross-functional teams
Experience working in agile/scrum development process
Comfortable working with Git and using a flow such as Git Flow (with master, release, develop and feature branches)
Solid understanding of best practices regarding performance and security in web development
Comfortable with peer code reviews (receiving and giving constructive criticism)
Comfortable working in modern IDEs such as PHPStorm, WebStorm, etc.
Fluent in spoken and written English
A friendly personality! : )
Bonus points if you have: *
Experience working with AWS/Azure/Google Cloud platforms
Experience working with RabbitMQ and sockets
Experience working in a Continuous Integration environment
Benefits: *
Vacation & paid time off
Casual dress
Bonus scheme
Company events & social hours
Job Types: Full-time, Permanent

Benefits:
Company events & social hours
Casual dress
Vacation & paid time off
Bonus scheme
On-site parking
Job Types: Full-time, Permanent

Salary: $65,000.00-$80,000.00 per year

Additional pay:
Bonus pay
Schedule:
Monday to Friday
COVID-19 considerations:
Note: This is not a remote work opportunity.
We've adapted our working space to ensure proper social distancing. For the time being, we expect you to wear a mask when you move around our workspace.

Experience:
Web MVC: 2 years (Required)
jQuery: 2 years (Preferred)
Scrum/Agile: 1 year (Required)
PHP Framework (Laravel, Yii, Symfony, etc.): 2 years (Required)
Node.Js: 1 year (Preferred)
HTML/CSS: 3 years (Required)
Git: 2 years (Required)
JavaScript: 2 years (Required)
Education:
Bachelor's Degree (Preferred)
Location:
Montréal, QC (Required)
Language:
English (Required)",-1,Cigo Tracker,Montreal,-1,-1,-1,-1,-1,-1,-1,-1
Senior Full Stack Web Developer,CA$48K-CA$70K (Glassdoor est.),"Cigo Tracker is looking to hire a Senior Full Stack Web Developer to join our growing team.*
Based in Montreal, Quebec, Cigo Tracker is a web service for logistics, routing and delivery management. Our intuitive web platform and smartphone app offer route optimization, real time tracking, and other customer management tools that drastically improve Last-Mile logistics and operations management in small, medium, and large enterprises. Our goal is to streamline the cumbersome process of delivering and distributing goods and empower businesses to improve their internal operations while providing a higher standard in customer service.
About the role*
As Senior Full Stack Web Developer, you will be responsible for adding new functionalities to the platform, improving existing features, reviewing the overall code base, and contributing to the idea pool. You’ll be expected to derive creative solutions to complex problems. We want you to share constructive criticism, develop with performance and security in mind, and deliver clear and maintainable code. Your work must be easy to understand, navigate, and use; simplicity is always key.
Your day-to-day: *
Contribute to new features in every aspect (from design, collaboration to full implementation)
Refactor our legacy code and work on improving existing functionality. Be ready to attack the backlog and provide your feedback along the way
Respect software development standards and aim to deliver the best code possible
Actively participate in the collaboration between the sales and development teams to bring Cigo to the next level
Work in a pleasant environment that ensures you grow and learn from the challenges you encounter daily in your work
You’ll be working with the following technology stack: *
_Backend: _*
PHP 7.3+
Yii 1.1 and Yii 2.x
Node.js
HTTP REST API design and development
Open API spec design and development
MySQL 5.7+
Cloud services and APIs such as: AWS (S3, SES, CloudFront, etc.), Azure, CloudFlare, and Twilio
_Frontend: _*
JavaScript (ECMAScript 2017/8)
jQuery 3.4
Bootstrap 3.4 & 4.x
CSS3 & SCSS
You currently have/are: *
Completed higher education in Computer Science or Software Engineering (B.Sc. and/or Masters)
Significant experience in Full Stack Web Development
Some experience building 3rd party platform integrations with e-commerce and accounting platforms (i.e. Shopify, WooCommerce, Magento, CRMs, QuickBooks, etc.)
Experience designing, developing, and maintaining an Open API
Considerable experience in Full Stack Web development using PHP (with an MVC framework, i.e. Laravel, Symfony, CakePHP, Yii), HTML, Bootstrap 3 and/or 4, JavaScript, and jQuery 3
Experience working in smaller cross-functional teams
Experience working in agile/scrum development process
Comfortable working with Git and using a flow such as Git Flow (with master, release, develop and feature branches)
Solid understanding of best practices regarding performance and security in web development
Comfortable with peer code reviews (receiving and giving constructive criticism)
Comfortable working in modern IDEs such as PHPStorm, WebStorm, etc.
Fluent in spoken and written English
A friendly personality! : )
Bonus points if you have: *
Experience working with AWS/Azure/Google Cloud platforms
Experience working with RabbitMQ and sockets
Experience working in a Continuous Integration environment
Benefits: *
Vacation & paid time off
Casual dress
Bonus scheme
Company events & social hours
Job Types: Full-time, Permanent

Benefits:
Company events & social hours
Casual dress
Vacation & paid time off
Bonus scheme
On-site parking
Job Types: Full-time, Permanent

Salary: $65,000.00-$80,000.00 per year

Additional pay:
Bonus pay
Schedule:
Monday to Friday
COVID-19 considerations:
Note: This is not a remote work opportunity.
We've adapted our working space to ensure proper social distancing. For the time being, we expect you to wear a mask when you move around our workspace.

Experience:
Web MVC: 2 years (Required)
jQuery: 2 years (Preferred)
Scrum/Agile: 1 year (Required)
PHP Framework (Laravel, Yii, Symfony, etc.): 2 years (Required)
Node.Js: 1 year (Preferred)
HTML/CSS: 3 years (Required)
Git: 2 years (Required)
JavaScript: 2 years (Required)
Education:
Bachelor's Degree (Preferred)
Location:
Montréal, QC (Required)
Language:
English (Required)",-1,Cigo Tracker,Montreal,-1,-1,-1,-1,-1,-1,-1,-1
Senior Full Stack Web Developer,CA$48K-CA$70K (Glassdoor est.),"Cigo Tracker is looking to hire a Senior Full Stack Web Developer to join our growing team.*
Based in Montreal, Quebec, Cigo Tracker is a web service for logistics, routing and delivery management. Our intuitive web platform and smartphone app offer route optimization, real time tracking, and other customer management tools that drastically improve Last-Mile logistics and operations management in small, medium, and large enterprises. Our goal is to streamline the cumbersome process of delivering and distributing goods and empower businesses to improve their internal operations while providing a higher standard in customer service.
About the role*
As Senior Full Stack Web Developer, you will be responsible for adding new functionalities to the platform, improving existing features, reviewing the overall code base, and contributing to the idea pool. You’ll be expected to derive creative solutions to complex problems. We want you to share constructive criticism, develop with performance and security in mind, and deliver clear and maintainable code. Your work must be easy to understand, navigate, and use; simplicity is always key.
Your day-to-day: *
Contribute to new features in every aspect (from design, collaboration to full implementation)
Refactor our legacy code and work on improving existing functionality. Be ready to attack the backlog and provide your feedback along the way
Respect software development standards and aim to deliver the best code possible
Actively participate in the collaboration between the sales and development teams to bring Cigo to the next level
Work in a pleasant environment that ensures you grow and learn from the challenges you encounter daily in your work
You’ll be working with the following technology stack: *
_Backend: _*
PHP 7.3+
Yii 1.1 and Yii 2.x
Node.js
HTTP REST API design and development
Open API spec design and development
MySQL 5.7+
Cloud services and APIs such as: AWS (S3, SES, CloudFront, etc.), Azure, CloudFlare, and Twilio
_Frontend: _*
JavaScript (ECMAScript 2017/8)
jQuery 3.4
Bootstrap 3.4 & 4.x
CSS3 & SCSS
You currently have/are: *
Completed higher education in Computer Science or Software Engineering (B.Sc. and/or Masters)
Significant experience in Full Stack Web Development
Some experience building 3rd party platform integrations with e-commerce and accounting platforms (i.e. Shopify, WooCommerce, Magento, CRMs, QuickBooks, etc.)
Experience designing, developing, and maintaining an Open API
Considerable experience in Full Stack Web development using PHP (with an MVC framework, i.e. Laravel, Symfony, CakePHP, Yii), HTML, Bootstrap 3 and/or 4, JavaScript, and jQuery 3
Experience working in smaller cross-functional teams
Experience working in agile/scrum development process
Comfortable working with Git and using a flow such as Git Flow (with master, release, develop and feature branches)
Solid understanding of best practices regarding performance and security in web development
Comfortable with peer code reviews (receiving and giving constructive criticism)
Comfortable working in modern IDEs such as PHPStorm, WebStorm, etc.
Fluent in spoken and written English
A friendly personality! : )
Bonus points if you have: *
Experience working with AWS/Azure/Google Cloud platforms
Experience working with RabbitMQ and sockets
Experience working in a Continuous Integration environment
Benefits: *
Vacation & paid time off
Casual dress
Bonus scheme
Company events & social hours
Job Types: Full-time, Permanent

Benefits:
Company events & social hours
Casual dress
Vacation & paid time off
Bonus scheme
On-site parking
Job Types: Full-time, Permanent

Salary: $65,000.00-$80,000.00 per year

Additional pay:
Bonus pay
Schedule:
Monday to Friday
COVID-19 considerations:
Note: This is not a remote work opportunity.
We've adapted our working space to ensure proper social distancing. For the time being, we expect you to wear a mask when you move around our workspace.

Experience:
Web MVC: 2 years (Required)
jQuery: 2 years (Preferred)
Scrum/Agile: 1 year (Required)
PHP Framework (Laravel, Yii, Symfony, etc.): 2 years (Required)
Node.Js: 1 year (Preferred)
HTML/CSS: 3 years (Required)
Git: 2 years (Required)
JavaScript: 2 years (Required)
Education:
Bachelor's Degree (Preferred)
Location:
Montréal, QC (Required)
Language:
English (Required)",-1,Cigo Tracker,Montreal,-1,-1,-1,-1,-1,-1,-1,-1
Software Developer / Programmeur Web + .NET,CA$48K-CA$70K (Glassdoor est.),"This job requires the candidate to be BOTH English and French, and also requires the candidate to be able to go very often to the office in Bromont, Qc. We will not pay for relocation. If you do not meet these criterias, please do NOT apply for the job.*
The candidate will work in close relationship with the Lead developer of the company and will help in all the IT tasks associated with the company
Application Development ( VB.NET, SQL )
Web Development ( ASP.NET, JavaScript, PHP, CSS/Bootstrap, Wordpress )
IT Security
IT Support
The candidate needs to be self-taught as he will need to learn and maintain existing code as well as develop new code for the ongoing business projects.

Expected start date: 2020-10-01

Job Types: Full-time, Permanent

Salary: $60,000.00-$90,000.00 per year

Additional pay:
Bonus pay
Benefits:
Flexible schedule
On-site parking
Work from home
Schedule:
8 hour shift
Monday to Friday
No weekends
Experience:
WordPress: 2 years (Preferred)
Computer Programming: 5 years (Required)
Web Development: 2 years (Required)
IT Security: 1 year (Preferred)
VB.NET: 3 years (Required)
SQL: 3 years (Required)
Education:
Bachelor's Degree (Required)
Work remotely:
Yes",-1,Dispill-USA Inc.,Bromont,-1,-1,-1,-1,-1,-1,-1,-1
Full Stack Ruby on Rails Developer,CA$48K-CA$70K (Glassdoor est.),"We are an internet-based startup that provides content services for businesses. We have been operating since 2017. We are building a platform that allows our customers to collaborate with our team on their projects. Our platform allows freelancers to connect to businesses and provide services in a safe environment. We mainly focus on content writing services.

Since we operate exclusively online, this will be mainly a remote position.

Right now, we are seeking an individual who is eager to challenge themselves, to serve the community, who writes beautiful code and pays attention to detail, who can deliver results without compromising quality, and who is dedicated to growth and improvement.

Responsibilities:

Write, modify, review, optimize and debug code
Design and implement new features
Participate in testing and quality control
Have the chance to act as an advisor and lead
Support project-related activities
Review peer code and architecture to ensure compliance with Company development standards and industry best practices
Work with a DevOps mindset with consideration for performance, optimization, refactoring, and data integrity
Provide or grow into a position of technical leadership

Must-Have:

At least 2 years of Ruby on Rails experience
A strong understanding of HTML, CSS, JavaScript (jQuery), Git
A strong grasp of MySQL/PostgreSQL
Experience with Bootstrap CSS Framework
Experience in developing RESTful web APIs
Data model design (relational)
Experience with test automation/unit testing

Nice to Have:

Experience with AWS services
Redis, Python, and Frontend Frameworks (Vue.js, Angular.js, React.js, etc.)

Experience:

Ruby On Rails: 2 years (Required)

Job Type: Permanent

Salary: $60,000.00-$70,000.00 per year

Benefits:
Flexible schedule
Paid time off
Work from home
Schedule:
8 hour shift
Monday to Friday
Overtime
Work remotely:
Yes",-1,Dibbly Inc.,Oakville,-1,1 to 50 Employees,2001,Company - Private,Architectural & Engineering Services,Business Services,Unknown / Non-Applicable,-1
Software Developer,CA$48K-CA$70K (Glassdoor est.),"At Cashco Financial, we have a purpose; to provide relief today and hope for tomorrow. We are looking for a talented person who will replace with who will assist in migrating, developing, maintaining and delivering an application as a service.
Job Requirements*
The role: *
As a Senior Software Developer you will,
Play a critical role in developing and maintaining our loaning and client management software which utilizes C# Windows form frontend with a SQL backend
Work within a small development team using an Agile approach to software development
Follow service requests through the entire software development lifecycle, from inception and planning to development and finally user acceptance testing, staging and eventually release
Track and troubleshoot issues received and provide support for our front-line staff when it comes to software errors and questions
Play a proactive role in code optimization to improve performance
Demonstrate a strong understanding of data structures, logic, and algorithm skills, and a broad understanding of the .Net Framework.
Work with 3rd parties to integrate software and/or transfer information as required
Create and manage unit-tests to validate that the software does what it was intended to do
Extract, visualize and provide data reports to business units so they can use the knowledge to make informed business decisions.
Performing code assignments and reviewing code work for accuracy and functionality
Keeping up to date with industry trend and technology developments
Provide technical support and assistance to other team members
Daily Activities: *
Work directly with other Programmers, Project Manager, Business Analyst, Project Consultant to develop and manage our core products and systems.
Program and test complex scenarios under pressure that involves multiple systems with multiple stakeholders.
Ensure adherence to security procedures and protocols.
Recommend and implement industry best coding practices.
Produce and maintain documentation for our system and subsystems.
Provided work estimates and status updates to managers, architect and stakeholders.
Attributes For Success*
You focus on impact over hard work: * Smart work is the hours you work with your results and impact on team members and product
You like to break systems to build strong product, together: * transforming lending solution to banking isn’t going to be easy, but we’re collectively working on it and there are no solo heroes aboard
You operate with a mentality of Build-Measure-Learn: * our agile mindset is not just for our technical teams, it's a mindset that every one of us is asked to operate from. We move fast, we make mistakes but we measure the impact, learn, grow and change as a result
You focus on 360°: * Look at all angles to have significant impact, you are the person to challenge the viability of deliverable.
You do it with passion or not at all: * you’re inspired by our vision of provide relief today and hope for tomorrow. You see the link between yourself and the work you are doing to transform lending solution.
You’re comfortable with being uncomfortable: * we won’t always have the answers and change is a constant in our world. As a Transformer you trust in our vision and own an attitude of willingness and patience
You keep the customer at the heart of everything you develop*: Empathy is a core driver in which you navigate the world. You don’t create products, processes and solutions for the sake of checking something off your checklist, you develop with the end user in mind, openly engaging new ideas, listening with intent and making decisions with the desire to balance both compassion with logical reasoning.
Desirable: *
Developer experience with C# and SQL.

Financial background and basic accounting practices is considered as an asset.

Working with and setting up windows services and Web APIs

Web Development experience with Angular, WordPress and Entity Framework knowledge

Experience and/or knowledge in AWS/Azure cloud platforms is considered as an asset
You have/we seek: *
You will have 4+ years’ experience in similar role along with a Bachelor’s degree or diploma in Computer Science (or related field). You will have the ability to:

Extensive knowledge of software development and its technologies

Demonstrate analytical skills and solid experience in coding

Communicate well with ability to maintain effective relationships

Work with minimal supervision in a very dynamic work environment

Maintain a high level of confidentiality and handle sensitive issues and information
What you can expect: *
A comprehensive compensation and benefit program including a Wellness Benefit Program.
Cashco is an innovative leader in the alternative finance industry. We offer a full suite of financial products, loans and banking services to under-banked and under-served Canadians both online and through our network of 54 branches in B.C., Alberta, Saskatchewan and Ontario.*
Job Type: Permanent

Schedule:
Monday to Friday
Experience:
software development: 4 years (Preferred)",4.2,"Cashco Financial
4.2",Edmonton,-1,201 to 500 Employees,1985,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Full Stack Web Developer,CA$48K-CA$70K (Glassdoor est.),"Job description*
Are you a software professional that enjoys creating solutions that customers love? Do you thrive on seeing projects from concept to delivery? Do you like working in smaller teams and seeing the entire solution?

Our team is growing and Kongsberg Geospatial seeks system developers for a variety of projects.
We have positions available in our Ottawa office, working remotely and on site.
What You’ll Create *
We develop systems that integrate complex sensor interfaces, data, and equipment. We tie it all together using an assortment of middleware technologies and present it using innovative modern graphical user interfaces. Our user experiences provide application operators visualization of geospatial map and terrain data, imagery, video feeds, and sensor controls overlaid with real time data.

Operators interact with our systems using many platforms including tablets, laptops, consoles, video walls and specialized military and air traffic control workstations.

Each of our systems is as unique as our customers; however, they all share a critical need to display and act on real-time geographic data.
Our Teams *
Small project teams up to 5 take full responsibility to design, develop and deliver systems typically in a 6-18 month timeframe. The team size and contract duration allow team members to become familiar with large portions of the system and often provide the opportunity to become subject matter experts for the technology we are integrating, often in customer facing roles.
What we’re looking for*
We are seeking full stack developers for Web application development. As a member of a motivated and structured development team, you will design and develop front and back end Web based software components (as a service) as well as interfacing third party web service APIs.

Occasionally our stakeholders do not have all the answers when it comes to how they want things to work. Therefore, you will need to be a critical thinker and problem solver and provide ideas in order to drive requirements.

You have a track record of designing and creating great user experiences for end users.
Our team sizes are small therefore you will be required to not only develop code, but also be an active participant in integrating and testing of code within the target solution (we are looking for someone who can see “the big picture”, not just validate functionality at a unit level).
Duties include*
• Working directly with customers to solve specific requirements.
• Defining project scope and estimating implementation effort.
• Prototyping proof of concepts, requirements development, OO analysis, design, coding, testing, and delivery.
• When required, providing technical support to our sales activities.
• Assisting with project proposal preparation.
You Have*
• A Canadian security clearance or eligibility to obtain one.
• A post-secondary degree in a field related to Computer Science or Engineering or equivalent relevant experience.
• Minimum 3 years experience in Software Development.
• Ability to adapt quickly to changes in technology and scope of work.
• Strong verbal, written and presentation skills, with the ability to effectively communicate to internal and external stakeholders.
• Strong planning and organizational skills.
• Ability to work both independently and as part of a team.
Experience in the following areas
• Developing front end Web based components using JavaScript, Typescript, CSS, HTML5
• Developing microservices written using NodeJS.
• Writing code using Object Oriented design patterns.
• Knowledge of how to design effective Web based user interfaces using UX best practices (defining end user personas, journey maps, workflows and wireframes).
• Solid understanding developing RESTful and Websockets based web service APIs.
• Strong understanding of web application development, including application design, session management, security and performance.
• Using XML and JSON.
• JavaScript/CSS Frameworks (React, Redux, Material Design UI).
• Deploying applications in a Linux server environment.
• Build tools such as Gulp or Webpack.
• Managing software configurations with Git or similar.
It will be great if you have….*
Experience in some of the following areas depending on the project and role:
• Open source Web based geospatial APIs (OpenLayers).
• Relational and NOSQL database design (SQLLite, MongoDB, Redis).
• Understanding of Container Orchestration (Docker).
• Agile development process.
• Experience and domain knowledge of geospatial technology.
• Experience and domain knowledge with one or more of Defence, ATC, and UAV applications and operations.

Reference ID: Web Developer

Job Types: Full-time, Permanent

Benefits:
Employee stock purchase plan
Flexible schedule
On-site parking
Paid time off
Schedule:
Monday to Friday
COVID-19 considerations:
Social distancing procedures are in effect in our offices. However, employees are welcome to work from home due to COVID-19.

Experience:
software development: 3 years (Required)
HTML/CSS: 3 years (Preferred)
Work remotely:
Temporarily due to COVID-19",-1,Kongsberg Geospatial,Ottawa,-1,-1,-1,-1,-1,-1,-1,-1
